Contiguous U.S., Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
195012,4712,41
195112,4744,73
195212,4587,-84
195312,4277,-394
195412,4425,-246
195512,4721,50
195612,4588,-83
195712,4537,-134
195812,4891,220
195912,4581,-90
196012,4900,229
196112,4700,29
196212,4835,164
196312,4866,195
196412,4677,6
196512,4680,9
196612,4838,167
196712,4733,62
196812,4815,144
196912,4860,189
197012,4786,115
197112,4671,0
197212,4805,134
197312,4449,-222
197412,4516,-155
197512,4583,-88
197612,4818,147
197712,4685,14
197812,5030,359
197912,4863,192
198012,4774,103
198112,4577,-94
198212,4686,15
198312,4689,18
198412,4565,-106
198512,4694,23
198612,4326,-345
198712,4373,-298
198812,4662,-9
198912,4716,45
199012,4051,-620
199112,4225,-446
199212,4444,-227
199312,4709,38
199412,4480,-191
199512,4519,-152
199612,4683,12
199712,4532,-139
199812,3985,-686
199912,4154,-517
200012,4422,-249
200112,4200,-471
200212,4310,-361
200312,4495,-176
200412,4308,-363
200512,4323,-348
200612,4022,-649
200712,4258,-413
200812,4488,-183
200912,4482,-189
201012,4473,-198
201112,4324,-347
201212,3780,-891
201312,4491,-180
201412,4594,-77
201512,4128,-543
201612,3921,-750
201712,3876,-795
201812,4340,-331
201912,4374,-297
202012,3965,-706
