Contiguous U.S., Minimum Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,39.17,-0.87
195112,39.04,-1.00
195212,39.85,-0.19
195312,40.96,0.92
195412,40.87,0.83
195512,39.41,-0.63
195612,39.76,-0.28
195712,40.63,0.59
195812,40.13,0.09
195912,40.06,0.02
196012,39.45,-0.59
196112,39.91,-0.13
196212,39.84,-0.20
196312,39.85,-0.19
196412,39.43,-0.61
196512,39.89,-0.15
196612,39.34,-0.70
196712,39.69,-0.35
196812,39.43,-0.61
196912,39.81,-0.23
197012,39.67,-0.37
197112,39.78,-0.26
197212,39.64,-0.40
197312,40.75,0.71
197412,40.21,0.17
197512,39.77,-0.27
197612,38.87,-1.17
197712,40.52,0.48
197812,39.32,-0.72
197912,39.06,-0.98
198012,40.33,0.29
198112,41.17,1.13
198212,39.84,-0.20
198312,40.68,0.64
198412,40.37,0.33
198512,39.55,-0.49
198612,41.74,1.70
198712,41.32,1.28
198812,40.07,0.03
198912,39.69,-0.35
199012,41.39,1.35
199112,41.51,1.47
199212,41.07,1.03
199312,39.83,-0.21
199412,40.94,0.90
199512,40.96,0.92
199612,40.05,0.01
199712,40.68,0.64
199812,42.82,2.78
199912,41.55,1.51
200012,41.21,1.17
200112,41.74,1.70
200212,41.22,1.18
200312,41.40,1.36
200412,41.57,1.53
200512,41.78,1.74
200612,42.08,2.04
200712,41.67,1.63
200812,40.13,0.09
200912,40.60,0.56
201012,41.31,1.27
201112,41.19,1.15
201212,42.88,2.84
201312,40.70,0.66
201412,40.73,0.69
201512,42.71,2.67
201612,43.13,3.09
201712,42.74,2.70
201812,41.94,1.90
201912,41.27,1.23
202012,42.41,2.37
