Contiguous U.S., Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
195001,23,15
195002,11,4
195003,12,-4
195004,21,-9
195005,106,8
195006,197,-11
195007,263,-52
195008,238,-45
195009,125,-31
195010,72,22
195011,9,-4
195012,3,-3
195101,6,-2
195102,5,-2
195103,14,-2
195104,22,-8
195105,95,-3
195106,194,-14
195107,314,-1
195108,287,4
195109,155,-1
195110,59,9
195111,7,-6
195112,10,4
195201,14,6
195202,7,0
195203,14,-2
195204,19,-11
195205,96,-2
195206,270,62
195207,355,40
195208,294,11
195209,152,-4
195210,37,-13
195211,10,-3
195212,4,-2
195301,9,1
195302,7,0
195303,25,9
195304,26,-4
195305,118,20
195306,254,46
195307,330,15
195308,279,-4
195309,161,5
195310,51,1
195311,10,-3
195312,6,0
195401,9,1
195402,10,3
195403,10,-6
195404,54,24
195405,67,-31
195406,232,24
195407,349,34
195408,288,5
195409,189,33
195410,55,5
195411,9,-4
195412,3,-3
195501,5,-3
195502,6,-1
195503,19,3
195504,44,14
195505,119,21
195506,155,-53
195507,362,47
195508,337,54
195509,175,19
195510,46,-4
195511,10,-3
195512,6,0
195601,3,-5
195602,11,4
195603,13,-3
195604,23,-7
195605,115,17
195606,225,17
195607,292,-23
195608,279,-4
195609,148,-8
195610,60,10
195611,8,-5
195612,10,4
195701,11,3
195702,16,9
195703,11,-5
195704,32,2
195705,96,-2
195706,233,25
195707,328,13
195708,265,-18
195709,149,-7
195710,29,-21
195711,13,0
195712,5,-1
195801,2,-6
195802,1,-6
195803,7,-9
195804,27,-3
195805,102,4
195806,187,-21
195807,308,-7
195808,296,13
195809,161,5
195810,47,-3
195811,18,5
195812,5,-1
195901,5,-3
195902,12,5
195903,11,-5
195904,30,0
195905,127,29
195906,221,13
195907,319,4
195908,328,45
195909,169,13
195910,61,11
195911,11,-2
195912,5,-1
196001,6,-2
196002,4,-3
196003,6,-10
196004,36,6
196005,76,-22
196006,212,4
196007,298,-17
196008,291,8
196009,173,17
196010,57,7
196011,15,2
196012,3,-3
196101,3,-5
196102,8,1
196103,21,5
196104,20,-10
196105,75,-23
196106,190,-18
196107,300,-15
196108,277,-6
196109,174,18
196110,43,-7
196111,12,-1
196112,6,0
196201,6,-2
196202,14,7
196203,8,-8
196204,26,-4
196205,142,44
196206,198,-10
196207,275,-40
196208,284,1
196209,137,-19
196210,61,11
196211,7,-6
196212,2,-4
196301,4,-4
196302,4,-3
196303,22,6
196304,43,13
196305,98,0
196306,207,-1
196307,302,-13
196308,264,-19
196309,152,-4
196310,74,24
196311,11,-2
196312,1,-5
196401,5,-3
196402,3,-4
196403,14,-2
196404,38,8
196405,113,15
196406,209,1
196407,322,7
196408,252,-31
196409,141,-15
196410,40,-10
196411,17,4
196412,8,2
196501,7,-1
196502,7,0
196503,10,-6
196504,42,12
196505,123,25
196506,173,-35
196507,278,-37
196508,268,-15
196509,149,-7
196510,45,-5
196511,20,7
196512,6,0
196601,4,-4
196602,5,-2
196603,11,-5
196604,29,-1
196605,85,-13
196606,192,-16
196607,344,29
196608,266,-17
196609,130,-26
196610,41,-9
196611,12,-1
196612,4,-2
196701,8,0
196702,5,-2
196703,24,8
196704,49,19
196705,75,-23
196706,199,-9
196707,277,-38
196708,250,-33
196709,116,-40
196710,42,-8
196711,13,0
196712,9,3
196801,5,-3
196802,2,-5
196803,8,-8
196804,33,3
196805,78,-20
196806,200,-8
196807,300,-15
196808,282,-1
196809,138,-18
196810,49,-1
196811,7,-6
196812,3,-3
196901,6,-2
196902,3,-4
196903,4,-12
196904,34,4
196905,94,-4
196906,196,-12
196907,330,15
196908,295,12
196909,148,-8
196910,47,-3
196911,8,-5
196912,4,-2
197001,2,-6
197002,3,-4
197003,10,-6
197004,37,7
197005,103,5
197006,195,-13
197007,317,2
197008,304,21
197009,178,22
197010,45,-5
197011,6,-7
197012,9,3
197101,7,-1
197102,7,0
197103,10,-6
197104,23,-7
197105,71,-27
197106,235,27
197107,285,-30
197108,262,-21
197109,173,17
197110,69,19
197111,13,0
197112,16,10
197201,14,6
197202,6,-1
197203,22,6
197204,37,7
197205,88,-10
197206,173,-35
197207,295,-20
197208,269,-14
197209,165,9
197210,44,-6
197211,10,-3
197212,8,2
197301,6,-2
197302,3,-4
197303,24,8
197304,18,-12
197305,78,-20
197306,228,20
197307,313,-2
197308,293,10
197309,163,7
197310,61,11
197311,22,9
197312,4,-2
197401,20,12
197402,6,-1
197403,29,13
197404,30,0
197405,106,8
197406,172,-36
197407,311,-4
197408,260,-23
197409,120,-36
197410,39,-11
197411,10,-3
197412,5,-1
197501,12,4
197502,11,4
197503,14,-2
197504,26,-4
197505,117,19
197506,200,-8
197507,295,-20
197508,289,6
197509,122,-34
197510,52,2
197511,12,-1
197512,5,-1
