Contiguous U.S., Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
195001,786,-139
195002,731,-34
195003,710,82
195004,428,69
195005,177,10
195006,46,3
195007,14,5
195008,24,7
195009,96,22
195010,214,-64
195011,594,32
195012,892,49
195101,890,-35
195102,743,-22
195103,654,26
195104,378,19
195105,150,-17
195106,52,9
195107,9,0
195108,22,5
195109,84,10
195110,252,-26
195111,672,110
195112,838,-5
195201,830,-95
195202,698,-67
195203,693,65
195204,338,-21
195205,168,1
195206,39,-4
195207,6,-3
195208,15,-2
195209,64,-10
195210,342,64
195211,576,14
195212,818,-25
195301,775,-150
195302,689,-76
195303,577,-51
195304,398,39
195305,162,-5
195306,42,-1
195307,7,-2
195308,15,-2
195309,60,-14
195310,230,-48
195311,526,-36
195312,796,-47
195401,905,-20
195402,596,-169
195403,669,41
195404,278,-81
195405,205,38
195406,40,-3
195407,10,1
195408,24,7
195409,66,-8
195410,244,-34
195411,553,-9
195412,835,-8
195501,952,27
195502,780,15
195503,622,-6
195504,298,-61
195505,140,-27
195506,57,14
195507,10,1
195508,8,-9
195509,66,-8
195510,258,-20
195511,628,66
195512,902,59
195601,923,-2
195602,743,-22
195603,666,38
195604,405,46
195605,171,4
195606,33,-10
195607,13,4
195608,19,2
195609,92,18
195610,237,-41
195611,576,14
195612,710,-133
195701,993,68
195702,641,-124
195703,631,3
195704,331,-28
195705,166,-1
195706,29,-14
195707,9,0
195708,21,4
195709,72,-2
195710,338,60
195711,569,7
195712,737,-106
195801,935,10
195802,875,110
195803,714,86
195804,348,-11
195805,156,-11
195806,61,18
195807,10,1
195808,12,-5
195809,70,-4
195810,268,-10
195811,513,-49
195812,929,86
195901,959,34
195902,776,11
195903,638,10
195904,324,-35
195905,131,-36
195906,31,-12
195907,7,-2
195908,9,-8
195909,58,-16
195910,266,-12
195911,621,59
195912,761,-82
196001,910,-15
196002,801,36
196003,840,212
196004,298,-61
196005,177,10
196006,38,-5
196007,10,1
196008,14,-3
196009,56,-18
196010,271,-7
196011,532,-30
196012,953,110
196101,996,71
196102,684,-81
196103,582,-46
196104,428,69
196105,213,46
196106,33,-10
196107,7,-2
196108,10,-7
196109,57,-17
196110,259,-19
196111,561,-1
196112,870,27
196201,994,69
196202,750,-15
196203,708,80
196204,352,-7
196205,135,-32
196206,41,-2
196207,17,8
196208,17,0
196209,99,25
196210,248,-30
196211,576,14
196212,898,55
196301,1073,148
196302,841,76
196303,577,-51
196304,342,-17
196305,174,7
196306,41,-2
196307,11,2
196308,22,5
196309,84,10
196310,178,-100
196311,498,-64
196312,1025,182
196401,891,-34
196402,818,53
196403,654,26
196404,355,-4
196405,140,-27
196406,46,3
196407,7,-2
196408,27,10
196409,82,8
196410,314,36
196411,517,-45
196412,826,-17
196501,913,-12
196502,788,23
196503,750,122
196504,367,8
196505,131,-36
196506,55,12
196507,13,4
196508,18,1
196509,89,15
196510,284,6
196511,512,-50
196512,760,-83
196601,1025,100
196602,803,38
196603,596,-32
196604,388,29
196605,197,30
196606,37,-6
196607,8,-1
196608,17,0
196609,89,15
196610,313,35
196611,518,-44
196612,847,4
196701,832,-93
196702,825,60
196703,607,-21
196704,369,10
196705,238,71
196706,40,-3
196707,10,1
196708,20,3
196709,90,16
196710,285,7
196711,603,41
196712,814,-29
196801,988,63
196802,836,71
196803,583,-45
196804,330,-29
196805,205,38
196806,40,-3
196807,8,-1
196808,19,2
196809,69,-5
196810,257,-21
196811,572,10
196812,908,65
196901,946,21
196902,787,22
196903,750,122
196904,322,-37
196905,147,-20
196906,52,9
196907,10,1
196908,11,-6
196909,68,-6
196910,314,36
196911,584,22
196912,869,26
197001,1067,142
197002,763,-2
197003,695,67
197004,363,4
197005,135,-32
197006,36,-7
197007,6,-3
197008,11,-6
197009,64,-10
197010,270,-8
197011,564,2
197012,812,-31
197101,978,53
197102,766,1
197103,692,64
197104,391,32
197105,209,42
197106,36,-7
197107,12,3
197108,15,-2
197109,56,-18
197110,205,-73
197111,572,10
197112,739,-104
197201,898,-27
197202,786,21
197203,609,-19
197204,387,28
197205,150,-17
197206,54,11
197207,10,1
197208,15,-2
197209,74,0
197210,341,63
197211,633,71
197212,848,5
197301,911,-14
197302,781,16
197303,523,-105
197304,375,16
197305,192,25
197306,27,-16
197307,8,-1
197308,11,-6
197309,69,-5
197310,226,-52
197311,515,-47
197312,811,-32
197401,846,-79
197402,757,-8
197403,562,-66
197404,327,-32
197405,182,15
197406,47,4
197407,8,-1
197408,17,0
197409,100,26
197410,315,37
197411,544,-18
197412,811,-32
197501,830,-95
197502,746,-19
197503,694,66
197504,460,101
197505,132,-35
197506,43,0
197507,7,-2
197508,16,-1
197509,106,32
197510,248,-30
197511,486,-76
197512,815,-28
197601,976,51
197602,615,-150
197603,556,-72
197604,327,-32
197605,189,22
197606,34,-9
197607,10,1
197608,23,6
197609,88,14
197610,378,100
197611,679,117
197612,943,100
197701,1184,259
197702,750,-15
197703,544,-84
197704,283,-76
197705,137,-30
197706,41,-2
197707,8,-1
197708,16,-1
197709,65,-9
197710,303,25
197711,508,-54
197712,846,3
197801,1061,136
197802,953,188
197803,677,49
197804,361,2
197805,170,3
197806,36,-7
197807,9,0
197808,14,-3
197809,66,-8
197810,291,13
197811,533,-29
197812,859,16
197901,1084,159
197902,942,177
197903,584,-44
197904,374,15
197905,160,-7
197906,42,-1
197907,9,0
197908,18,1
197909,64,-10
197910,279,1
197911,548,-14
197912,759,-84
198001,886,-39
198002,827,62
198003,685,57
198004,350,-9
198005,158,-9
198006,56,13
198007,7,-2
198008,13,-4
198009,59,-15
198010,323,45
198011,578,16
198012,832,-11
198101,979,54
198102,692,-73
198103,626,-2
198104,272,-87
198105,177,10
198106,30,-13
198107,8,-1
198108,13,-4
198109,80,6
198110,336,58
198111,516,-46
198112,848,5
198201,1059,134
198202,771,6
198203,622,-6
198204,417,58
198205,128,-39
198206,66,23
198207,10,1
198208,22,5
198209,81,7
198210,274,-4
198211,532,-30
198212,704,-139
198301,876,-49
198302,707,-58
198303,595,-33
198304,434,75
198305,198,31
198306,40,-3
198307,8,-1
198308,6,-11
198309,58,-16
198310,257,-21
198311,523,-39
198312,987,144
198401,994,69
198402,649,-116
198403,696,68
198404,381,22
198405,179,12
198406,34,-9
198407,9,0
198408,9,-8
198409,93,19
198410,234,-44
198411,577,15
198412,710,-133
198501,1054,129
198502,804,39
198503,562,-66
198504,270,-89
198505,134,-33
198506,50,7
198507,6,-3
198508,20,3
198509,77,3
198510,251,-27
198511,518,-44
198512,948,105
198601,852,-73
198602,723,-42
198603,542,-86
198604,305,-54
198605,135,-32
198606,32,-11
198607,12,3
198608,20,3
198609,83,9
198610,265,-13
198611,561,-1
198612,796,-47
198701,917,-8
198702,709,-56
198703,578,-50
198704,315,-44
198705,117,-50
198706,23,-20
198707,10,1
198708,16,-1
198709,65,-9
198710,345,67
198711,501,-61
198712,777,-66
198801,998,73
198802,768,3
198803,593,-35
198804,349,-10
198805,146,-21
198806,33,-10
198807,4,-5
198808,7,-10
198809,76,2
198810,347,69
198811,513,-49
198812,828,-15
198901,785,-140
198902,822,57
198903,595,-33
198904,343,-16
198905,172,5
198906,35,-8
198907,7,-2
198908,17,0
198909,77,3
198910,264,-14
198911,542,-20
198912,1057,214
199001,727,-198
199002,650,-115
199003,532,-96
199004,325,-34
199005,193,26
199006,33,-10
199007,7,-2
199008,12,-5
199009,59,-15
199010,250,-28
199011,467,-95
199012,796,-47
199101,912,-13
199102,628,-137
199103,568,-60
199104,297,-62
199105,113,-54
199106,36,-7
199107,7,-2
199108,9,-8
199109,72,-2
199110,244,-34
199111,590,28
199112,749,-94
199201,844,-81
199202,634,-131
199203,596,-32
199204,344,-15
199205,158,-9
199206,49,6
199207,17,8
199208,27,10
199209,78,4
199210,301,23
199211,571,9
199212,825,-18
199301,853,-72
199302,816,51
199303,653,25
199304,374,15
199305,138,-29
199306,43,0
199307,15,6
199308,12,-5
199309,92,18
199310,304,26
199311,587,25
199312,822,-21
199401,1008,83
199402,798,33
199403,584,-44
199404,299,-60
199405,181,14
199406,24,-19
199407,7,-2
199408,19,2
199409,68,-6
199410,275,-3
199411,493,-69
199412,724,-119
199501,840,-85
199502,732,-33
199503,553,-75
199504,378,19
199505,186,19
199506,37,-6
199507,6,-3
199508,9,-8
199509,80,6
199510,238,-40
199511,597,35
199512,863,20
199601,931,6
199602,730,-35
199603,700,72
199604,360,1
199605,172,5
199606,30,-13
199607,10,1
199608,11,-6
199609,77,3
199610,279,1
199611,626,64
199612,757,-86
199701,917,-8
199702,665,-100
199703,541,-87
199704,407,48
199705,199,32
199706,36,-7
199707,10,1
199708,18,1
199709,66,-8
199710,277,-1
199711,594,32
199712,802,-41
199801,757,-168
199802,623,-142
199803,593,-35
199804,338,-21
199805,127,-40
199806,47,4
199807,5,-4
199808,7,-10
199809,36,-38
199810,249,-29
199811,486,-76
199812,717,-126
199901,841,-84
199902,635,-130
199903,636,8
199904,327,-32
199905,152,-15
199906,35,-8
199907,7,-2
199908,15,-2
199909,64,-10
199910,272,-6
199911,415,-147
199912,755,-88
200001,869,-56
200002,629,-136
200003,490,-138
200004,338,-21
200005,122,-45
200006,31,-12
200007,13,4
200008,13,-4
200009,73,-1
200010,247,-31
200011,613,51
200012,984,141
200101,920,-5
200102,710,-55
200103,653,25
200104,306,-53
200105,121,-46
200106,32,-11
