Contiguous U.S., Precipitation
Units: Inches
Base Period: 1950-2020
Missing: -99
Date,Value,Anomaly
195001,3.36,1.07
195002,2.23,0.11
195003,2.49,-0.03
195004,2.08,-0.49
195005,2.88,-0.13
195006,2.80,-0.16
195007,3.86,1.05
195008,2.55,-0.10
195009,2.69,0.14
195010,1.90,-0.42
195011,2.10,-0.21
195012,1.93,-0.50
195101,2.34,0.05
195102,2.27,0.15
195103,2.60,0.08
195104,2.35,-0.22
195105,2.37,-0.64
195106,3.44,0.48
195107,2.85,0.04
195108,2.61,-0.04
195109,2.57,0.02
195110,2.30,-0.02
195111,2.43,0.12
195112,3.12,0.69
195201,2.44,0.15
195202,2.00,-0.12
195203,2.93,0.41
195204,2.40,-0.17
195205,2.69,-0.32
195206,2.20,-0.76
195207,2.39,-0.42
195208,2.62,-0.03
195209,1.53,-1.02
195210,0.54,-1.78
195211,2.15,-0.16
195212,2.45,0.02
195301,2.64,0.35
195302,2.06,-0.06
195303,2.61,0.09
195304,2.96,0.39
195305,3.26,0.25
195306,2.54,-0.42
195307,2.65,-0.16
195308,2.29,-0.36
195309,1.50,-1.05
195310,1.51,-0.81
195311,1.79,-0.52
195312,2.50,0.07
195401,2.54,0.25
195402,1.49,-0.63
195403,2.16,-0.36
195404,2.40,-0.17
195405,2.69,-0.32
195406,2.50,-0.46
195407,2.01,-0.80
195408,2.52,-0.13
195409,1.95,-0.60
195410,2.35,0.03
195411,1.54,-0.77
195412,2.00,-0.43
195501,1.69,-0.60
195502,2.22,0.10
195503,1.98,-0.54
195504,2.49,-0.08
195505,2.92,-0.09
195506,2.47,-0.49
195507,2.92,0.11
195508,2.74,0.09
195509,2.11,-0.44
195510,2.04,-0.28
195511,1.92,-0.39
195512,2.24,-0.19
195601,2.27,-0.02
195602,2.62,0.50
195603,1.82,-0.70
195604,2.07,-0.50
195605,2.60,-0.41
195606,2.21,-0.75
195607,2.78,-0.03
195608,2.21,-0.44
195609,1.44,-1.11
195610,2.00,-0.32
195611,1.36,-0.95
195612,2.00,-0.43
195701,2.13,-0.16
195702,2.08,-0.04
195703,2.51,-0.01
195704,3.65,1.08
195705,4.24,1.23
195706,3.65,0.69
195707,2.28,-0.53
195708,2.19,-0.46
195709,2.86,0.31
195710,2.76,0.44
195711,3.12,0.81
195712,2.40,-0.03
195801,2.29,0.00
195802,2.43,0.31
195803,2.66,0.14
195804,3.05,0.48
195805,2.46,-0.55
195806,3.20,0.24
195807,3.86,1.05
195808,2.40,-0.25
195809,2.82,0.27
195810,1.53,-0.79
195811,2.21,-0.10
195812,1.32,-1.11
195901,2.19,-0.10
195902,2.35,0.23
195903,2.14,-0.38
195904,2.14,-0.43
195905,3.20,0.19
195906,2.62,-0.34
195907,2.94,0.13
195908,2.76,0.11
195909,2.82,0.27
195910,3.50,1.18
195911,1.72,-0.59
195912,2.22,-0.21
196001,2.26,-0.03
196002,2.59,0.47
196003,2.12,-0.40
196004,2.15,-0.42
196005,2.87,-0.14
196006,2.69,-0.27
196007,2.68,-0.13
196008,2.83,0.18
196009,2.21,-0.34
196010,2.40,0.08
196011,2.05,-0.26
196012,1.90,-0.53
196101,1.48,-0.81
196102,2.78,0.66
196103,3.16,0.64
196104,2.30,-0.27
196105,2.88,-0.13
196106,2.92,-0.04
196107,3.11,0.30
196108,2.62,-0.03
196109,2.94,0.39
196110,1.78,-0.54
196111,2.59,0.28
196112,2.69,0.26
196201,2.21,-0.08
196202,2.55,0.43
196203,2.15,-0.37
196204,2.10,-0.47
196205,2.69,-0.32
196206,3.21,0.25
196207,2.91,0.10
196208,2.04,-0.61
196209,2.78,0.23
196210,2.33,0.01
196211,2.05,-0.26
196212,1.58,-0.85
196301,1.57,-0.72
196302,1.73,-0.39
196303,2.47,-0.05
196304,2.30,-0.27
196305,2.36,-0.65
196306,2.94,-0.02
196307,2.69,-0.12
196308,2.33,-0.32
196309,2.21,-0.34
196310,0.96,-1.36
196311,2.66,0.35
196312,1.48,-0.95
196401,2.43,0.14
196402,1.56,-0.56
196403,2.83,0.31
196404,3.29,0.72
196405,2.25,-0.76
196406,2.81,-0.15
196407,2.61,-0.20
196408,2.87,0.22
196409,2.54,-0.01
196410,1.36,-0.96
196411,2.38,0.07
196412,3.33,0.90
196501,2.34,0.05
196502,2.16,0.04
196503,2.16,-0.36
196504,2.52,-0.05
196505,2.71,-0.30
196506,3.24,0.28
196507,2.73,-0.08
196508,2.80,0.15
196509,3.53,0.98
196510,1.45,-0.87
196511,2.00,-0.31
196512,2.16,-0.27
196601,2.36,0.07
196602,2.34,0.22
196603,1.61,-0.91
196604,2.49,-0.08
196605,2.24,-0.77
196606,2.24,-0.72
196607,2.41,-0.40
196608,3.11,0.46
196609,2.44,-0.11
196610,1.67,-0.65
196611,2.01,-0.30
196612,2.54,0.11
196701,2.15,-0.14
196702,1.42,-0.70
196703,1.92,-0.60
196704,2.67,0.10
196705,2.96,-0.05
196706,3.58,0.62
196707,2.89,0.08
196708,2.51,-0.14
196709,2.49,-0.06
196710,2.34,0.02
196711,1.61,-0.70
196712,3.06,0.63
196801,2.17,-0.12
196802,1.48,-0.64
196803,2.16,-0.36
196804,2.46,-0.11
196805,3.33,0.32
196806,3.12,0.16
196807,2.77,-0.04
196808,2.88,0.23
196809,2.31,-0.24
196810,2.07,-0.25
196811,2.82,0.51
196812,2.82,0.39
196901,3.01,0.72
196902,2.23,0.11
196903,1.89,-0.63
196904,2.60,0.03
196905,2.66,-0.35
196906,3.31,0.35
196907,3.09,0.28
196908,2.31,-0.34
196909,2.30,-0.25
196910,2.70,0.38
196911,1.59,-0.72
196912,2.94,0.51
197001,2.09,-0.20
197002,1.63,-0.49
197003,2.68,0.16
197004,2.78,0.21
197005,2.61,-0.40
197006,2.77,-0.19
197007,2.41,-0.40
197008,2.37,-0.28
197009,3.06,0.51
197010,2.88,0.56
197011,2.20,-0.11
197012,2.22,-0.21
197101,2.03,-0.26
197102,2.37,0.25
197103,2.08,-0.44
197104,1.86,-0.71
197105,2.92,-0.09
197106,2.53,-0.43
197107,3.00,0.19
197108,2.75,0.10
197109,2.83,0.28
197110,2.73,0.41
197111,2.03,-0.28
197112,3.20,0.77
197201,2.33,0.04
197202,1.80,-0.32
197203,2.13,-0.39
197204,2.26,-0.31
197205,2.95,-0.06
197206,3.10,0.14
197207,2.93,0.12
197208,2.64,-0.01
197209,2.74,0.19
197210,2.75,0.43
197211,3.05,0.74
197212,3.02,0.59
197301,2.48,0.19
197302,1.96,-0.16
197303,4.00,1.48
197304,3.33,0.76
197305,3.03,0.02
197306,3.05,0.09
197307,2.96,0.15
197308,2.06,-0.59
197309,3.46,0.91
197310,2.37,0.05
197311,3.17,0.86
197312,3.09,0.66
197401,3.15,0.86
197402,1.68,-0.44
197403,2.63,0.11
197404,2.55,-0.02
197405,3.07,0.06
197406,2.64,-0.32
197407,2.14,-0.67
197408,3.43,0.78
197409,2.72,0.17
197410,2.01,-0.31
197411,2.18,-0.13
197412,2.42,-0.01
197501,2.61,0.32
197502,2.61,0.49
197503,3.40,0.88
197504,2.67,0.10
197505,3.28,0.27
197506,3.31,0.35
197507,2.97,0.16
197508,2.83,0.18
197509,2.66,0.11
197510,2.30,-0.02
197511,2.28,-0.03
197512,2.11,-0.32
197601,1.76,-0.53
197602,1.89,-0.23
197603,2.57,0.05
197604,2.29,-0.28
197605,2.93,-0.08
197606,2.77,-0.19
197607,2.74,-0.07
197608,2.00,-0.65
197609,2.45,-0.10
197610,2.44,0.12
197611,1.11,-1.20
197612,1.36,-1.07
197701,1.58,-0.71
197702,1.23,-0.89
197703,3.10,0.58
197704,2.27,-0.30
197705,2.67,-0.34
197706,2.49,-0.47
197707,2.56,-0.25
197708,3.55,0.90
197709,3.22,0.67
197710,2.19,-0.13
197711,2.86,0.55
197712,2.72,0.29
197801,3.18,0.89
197802,1.77,-0.35
197803,2.26,-0.26
197804,2.54,-0.03
197805,3.64,0.63
197806,2.55,-0.41
197807,2.75,-0.06
197808,2.77,0.12
197809,2.44,-0.11
197810,1.11,-1.21
197811,2.60,0.29
197812,2.53,0.10
197901,3.31,1.02
197902,2.60,0.48
197903,2.80,0.28
197904,3.07,0.50
197905,3.23,0.22
