Contiguous U.S., Palmer Drought Severity Index (PDSI)
Base Period: 1950-2020
Missing: -99
Date,Value,Anomaly
195001,0.54,-0.04
195002,0.70,0.19
195003,0.81,0.55
195004,0.64,0.28
195005,0.67,0.24
195006,0.62,0.26
195007,1.93,1.48
195008,2.34,1.84
195009,2.57,2.05
195010,1.89,1.34
195011,1.77,1.25
195012,1.46,0.87
195101,1.47,0.89
195102,1.61,1.10
195103,1.77,1.51
195104,1.63,1.27
195105,0.92,0.49
195106,1.54,1.18
195107,1.65,1.20
195108,1.63,1.13
195109,1.65,1.13
195110,1.68,1.13
195111,1.96,1.44
195112,2.70,2.11
195201,3.20,2.62
195202,2.86,2.35
195203,3.29,3.03
195204,-0.13,-0.49
195205,-0.34,-0.77
195206,-1.19,-1.55
195207,-1.84,-2.29
195208,-2.02,-2.52
195209,-2.93,-3.45
195210,-3.99,-4.54
195211,-3.96,-4.48
195212,-4.06,-4.65
195301,-3.97,-4.55
195302,-3.53,-4.04
195303,-3.30,-3.56
195304,-2.21,-2.57
195305,-1.50,-1.93
195306,-1.80,-2.16
195307,-1.76,-2.21
195308,-1.98,-2.48
195309,-2.90,-3.42
195310,-3.38,-3.93
195311,-3.91,-4.43
195312,-4.15,-4.74
195401,-4.14,-4.72
195402,-4.58,-5.09
195403,-4.30,-4.56
195404,-4.29,-4.65
195405,-3.82,-4.25
195406,-3.80,-4.16
195407,-4.33,-4.78
195408,-4.30,-4.80
195409,-4.62,-5.14
195410,-4.04,-4.59
195411,-4.62,-5.14
195412,-5.13,-5.72
195501,-5.89,-6.47
195502,-5.85,-6.36
195503,-5.69,-5.95
195504,-5.29,-5.65
195505,-4.84,-5.27
195506,-4.52,-4.88
195507,-3.95,-4.40
195508,-3.57,-4.07
195509,-3.68,-4.20
195510,-3.47,-4.02
195511,-3.37,-3.89
195512,-3.38,-3.97
195601,-3.28,-3.86
195602,-2.24,-2.75
195603,-2.67,-2.93
195604,-2.58,-2.94
195605,-2.78,-3.21
195606,-3.34,-3.70
195607,-3.36,-3.81
195608,-3.63,-4.13
195609,-4.37,-4.89
195610,-4.28,-4.83
195611,-4.89,-5.41
195612,-5.62,-6.21
195701,-6.22,-6.80
195702,-6.56,-7.07
195703,0.00,-0.26
195704,1.19,0.83
195705,2.41,1.98
195706,2.93,2.57
195707,2.61,2.16
195708,1.99,1.49
195709,2.23,1.71
195710,2.80,2.25
195711,3.63,3.11
195712,4.00,3.41
195801,4.25,3.67
195802,4.34,3.83
195803,4.34,4.08
195804,4.55,4.19
195805,3.40,2.97
195806,3.37,3.01
195807,4.13,3.68
195808,3.69,3.19
195809,3.63,3.11
195810,-0.55,-1.10
195811,-0.69,-1.21
195812,-1.55,-2.14
195901,-2.01,-2.59
195902,-1.52,-2.03
195903,-1.77,-2.03
195904,-1.96,-2.32
195905,-1.54,-1.97
195906,-1.75,-2.11
195907,0.16,-0.29
195908,0.24,-0.26
195909,0.56,0.04
195910,1.82,1.27
195911,1.78,1.26
195912,1.91,1.32
196001,2.24,1.66
196002,2.69,2.18
196003,0.02,-0.24
196004,-0.48,-0.84
196005,-0.33,-0.76
196006,-0.50,-0.86
196007,-0.52,-0.97
196008,-0.25,-0.75
196009,-0.65,-1.17
196010,-0.40,-0.95
196011,-0.63,-1.15
196012,-1.05,-1.64
196101,-1.83,-2.41
196102,0.39,-0.12
196103,0.81,0.55
196104,0.84,0.48
196105,0.93,0.50
196106,0.81,0.45
196107,1.20,0.75
196108,1.21,0.71
196109,1.71,1.19
