Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 1950-2020
Missing: -99
Date,Value,Anomaly
195001,30.43,-0.46
195002,35.55,0.84
195003,38.84,-3.35
195004,48.65,-2.77
195005,59.45,-1.13
195006,67.93,-1.06
195007,71.22,-2.73
195008,70.02,-2.45
195009,63.50,-1.73
195010,57.47,3.15
195011,40.64,-1.65
195012,33.01,-0.38
195101,30.20,-0.69
195102,34.54,-0.17
195103,38.55,-3.64
195104,49.73,-1.69
195105,60.76,0.18
195106,66.65,-2.34
195107,73.69,-0.26
195108,71.89,-0.58
195109,64.09,-1.14
195110,54.00,-0.32
195111,38.08,-4.21
195112,31.23,-2.16
195201,32.00,1.11
195202,35.46,0.75
195203,37.69,-4.50
195204,51.66,0.24
195205,60.58,0.00
195206,70.75,1.76
195207,74.10,0.15
195208,72.82,0.35
195209,65.89,0.66
195210,52.95,-1.37
195211,39.92,-2.37
195212,33.44,0.05
195301,36.43,5.54
195302,35.87,1.16
195303,43.75,1.56
195304,48.76,-2.66
195305,59.18,-1.40
195306,70.18,1.19
195307,74.17,0.22
195308,72.10,-0.37
195309,66.16,0.93
195310,56.21,1.89
195311,43.88,1.59
195312,33.69,0.30
195401,30.90,0.01
195402,41.41,6.70
195403,39.25,-2.94
195404,54.18,2.76
195405,58.59,-1.99
195406,68.85,-0.14
195407,75.47,1.52
195408,72.18,-0.29
195409,66.45,1.22
195410,54.68,0.36
195411,44.06,1.77
195412,33.91,0.52
195501,29.35,-1.54
195502,31.05,-3.66
195503,40.06,-2.13
195504,52.86,1.44
195505,61.29,0.71
195506,66.54,-2.45
195507,74.44,0.49
195508,73.87,1.40
195509,65.88,0.65
195510,55.04,0.72
195511,38.23,-4.06
195512,31.71,-1.68
195601,31.01,0.12
195602,32.27,-2.44
195603,40.75,-1.44
195604,49.37,-2.05
195605,61.77,1.19
195606,70.36,1.37
195607,73.06,-0.89
195608,71.69,-0.78
195609,65.10,-0.13
195610,56.16,1.84
195611,40.32,-1.97
195612,36.23,2.84
195701,27.07,-3.82
195702,38.07,3.36
195703,41.27,-0.92
195704,50.70,-0.72
195705,59.65,-0.93
195706,68.70,-0.29
195707,74.28,0.33
195708,71.65,-0.82
195709,64.18,-1.05
195710,51.67,-2.65
195711,40.26,-2.03
195712,37.00,3.61
195801,31.60,0.71
195802,31.98,-2.73
195803,37.67,-4.52
195804,50.27,-1.15
195805,62.42,1.84
195806,67.93,-1.06
195807,72.63,-1.32
195808,73.29,0.82
195809,65.43,0.20
195810,54.73,0.41
195811,43.02,0.73
195812,32.22,-1.17
195901,29.50,-1.39
195902,32.49,-2.22
195903,41.45,-0.74
195904,51.60,0.18
195905,60.84,0.26
195906,69.96,0.97
195907,73.58,-0.37
195908,73.17,0.70
195909,64.74,-0.49
195910,53.33,-0.99
195911,38.66,-3.63
195912,35.94,2.55
196001,29.46,-1.43
196002,30.52,-4.19
196003,35.91,-6.28
196004,52.59,1.17
196005,59.31,-1.27
196006,69.08,0.09
196007,73.89,-0.06
196008,72.21,-0.26
196009,66.45,1.22
196010,54.77,0.45
196011,42.73,0.44
196012,30.40,-2.99
196101,29.71,-1.18
196102,37.42,2.71
196103,43.47,1.28
196104,48.67,-2.75
196105,58.87,-1.71
196106,69.49,0.50
196107,73.24,-0.71
196108,72.70,0.23
196109,63.41,-1.82
196110,53.85,-0.47
196111,40.50,-1.79
196112,31.08,-2.31
196201,26.96,-3.93
196202,34.92,0.21
196203,37.90,-4.29
196204,51.84,0.42
196205,62.24,1.66
196206,67.91,-1.08
196207,72.07,-1.88
196208,72.12,-0.35
196209,64.18,-1.05
196210,56.12,1.80
196211,43.18,0.89
196212,33.40,0.01
196301,24.44,-6.45
196302,34.12,-0.59
196303,43.72,1.53
196304,51.89,0.47
196305,61.02,0.44
196306,68.67,-0.32
196307,73.60,-0.35
196308,71.98,-0.49
196309,66.34,1.11
196310,59.36,5.04
196311,44.04,1.75
196312,27.90,-5.49
196401,31.53,0.64
196402,31.77,-2.94
196403,38.82,-3.37
196404,51.30,-0.12
196405,61.43,0.85
196406,68.00,-0.99
196407,74.66,0.71
196408,70.72,-1.75
196409,63.70,-1.53
196410,53.78,-0.54
196411,42.33,0.04
196412,32.04,-1.35
196501,31.80,0.91
196502,32.52,-2.19
196503,35.44,-6.75
196504,51.89,0.47
196505,60.80,0.22
196506,66.85,-2.14
196507,72.61,-1.34
196508,71.06,-1.41
196509,61.77,-3.46
196510,54.99,0.67
196511,44.65,2.36
196512,35.85,2.46
196601,26.38,-4.51
196602,31.24,-3.47
196603,43.00,0.81
196604,49.96,-1.46
196605,60.19,-0.39
196606,67.93,-1.06
196607,75.07,1.12
196608,70.86,-1.61
196609,64.54,-0.69
196610,52.83,-1.49
196611,43.21,0.92
196612,32.68,-0.71
196701,33.10,2.21
196702,32.88,-1.83
196703,43.63,1.44
196704,51.01,-0.41
196705,57.63,-2.95
196706,67.55,-1.44
196707,72.52,-1.43
196708,71.22,-1.25
196709,64.06,-1.17
196710,53.92,-0.40
196711,41.54,-0.75
196712,32.07,-1.32
196801,28.94,-1.95
196802,32.92,-1.79
196803,43.56,1.37
196804,50.58,-0.84
196805,58.17,-2.41
196806,68.50,-0.49
196807,72.86,-1.09
196808,70.59,-1.88
196809,63.90,-1.33
196810,54.64,0.32
196811,41.14,-1.15
196812,30.04,-3.35
196901,29.37,-1.52
196902,32.81,-1.90
196903,36.03,-6.16
196904,52.63,1.21
196905,61.41,0.83
