Contiguous U.S., Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1950-2020
Missing: -99
Date,Value,Anomaly
195001,41.32,0.10
195002,47.10,1.42
195003,50.52,-3.22
195004,61.18,-2.72
195005,72.27,-0.98
195006,81.16,-0.61
195007,83.62,-3.20
195008,83.53,-1.82
195009,75.52,-2.55
195010,70.72,3.86
195011,52.65,-0.58
195012,43.75,0.28
195101,41.14,-0.08
195102,46.08,0.40
195103,50.09,-3.65
195104,62.06,-1.84
195105,74.01,0.76
195106,79.32,-2.45
195107,86.90,0.08
195108,84.87,-0.48
195109,77.43,-0.64
195110,66.00,-0.86
195111,48.96,-4.27
195112,41.38,-2.09
195201,42.28,1.06
195202,46.22,0.54
195203,48.24,-5.50
195204,64.53,0.63
195205,73.71,0.46
195206,84.04,2.27
195207,87.85,1.03
195208,86.16,0.81
195209,80.42,2.35
195210,68.67,1.81
195211,51.46,-1.77
195212,42.76,-0.71
195301,46.85,5.63
195302,47.21,1.53
195303,55.35,1.61
195304,60.76,-3.14
195305,71.35,-1.90
195306,83.37,1.60
195307,87.46,0.64
195308,85.59,0.24
195309,81.37,3.30
195310,70.34,3.48
195311,55.58,2.35
195312,43.95,0.48
195401,41.74,0.52
195402,53.85,8.17
195403,50.74,-3.00
195404,67.21,3.31
195405,71.46,-1.79
195406,81.86,0.09
195407,89.29,2.47
195408,85.33,-0.02
195409,80.11,2.04
195410,67.23,0.37
195411,56.07,2.84
195412,44.47,1.00
195501,39.27,-1.95
195502,42.39,-3.29
195503,52.34,-1.40
195504,65.59,1.69
195505,74.26,1.01
195506,79.41,-2.36
195507,87.24,0.42
195508,87.21,1.86
195509,79.56,1.49
195510,68.72,1.86
195511,49.69,-3.54
195512,41.88,-1.59
195601,41.14,-0.08
195602,43.23,-2.45
195603,53.49,-0.25
195604,62.13,-1.77
195605,74.66,1.41
195606,83.97,2.20
195607,86.20,-0.62
195608,85.30,-0.05
195609,79.93,1.86
195610,69.42,2.56
195611,52.29,-0.94
195612,47.26,3.79
195701,37.17,-4.05
195702,48.54,2.86
195703,52.00,-1.74
195704,62.10,-1.80
195705,71.19,-2.06
195706,81.00,-0.77
195707,87.53,0.71
195708,84.81,-0.54
195709,77.38,-0.69
195710,62.24,-4.62
195711,49.86,-3.37
195712,47.77,4.30
195801,41.79,0.57
195802,42.10,-3.58
195803,46.78,-6.96
195804,62.04,-1.86
195805,76.03,2.78
195806,80.53,-1.24
195807,85.06,-1.76
195808,86.65,1.30
195809,77.95,-0.12
195810,67.86,1.00
195811,54.61,1.38
195812,43.34,-0.13
195901,40.46,-0.76
195902,43.23,-2.45
195903,53.78,0.04
195904,64.51,0.61
195905,73.13,-0.12
195906,83.01,1.24
195907,87.08,0.26
195908,86.00,0.65
195909,77.05,-1.02
195910,64.85,-2.01
195911,50.74,-2.49
195912,45.93,2.46
196001,38.75,-2.47
196002,40.46,-5.22
196003,47.21,-6.53
196004,65.32,1.42
196005,72.41,-0.84
196006,82.38,0.61
196007,87.49,0.67
196008,85.28,-0.07
196009,79.81,1.74
196010,67.28,0.42
196011,54.05,0.82
196012,40.69,-2.78
196101,41.25,0.03
196102,48.51,2.83
196103,54.41,0.67
196104,61.00,-2.90
196105,71.69,-1.56
196106,83.03,1.26
