Contiguous U.S., Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1950-2020
Missing: -99
Date,Value,Anomaly
195001,19.56,-1.01
195002,24.01,0.28
195003,27.16,-3.46
195004,36.12,-2.81
195005,46.63,-1.28
195006,54.70,-1.51
195007,58.80,-2.27
195008,56.50,-3.08
195009,51.48,-0.91
195010,44.20,2.43
195011,28.62,-2.73
195012,22.28,-1.03
195101,19.26,-1.31
195102,23.00,-0.73
195103,27.03,-3.59
195104,37.40,-1.53
195105,47.53,-0.38
195106,53.96,-2.25
195107,60.46,-0.61
195108,58.89,-0.69
195109,50.76,-1.63
195110,41.97,0.20
195111,27.21,-4.14
195112,21.07,-2.24
195201,21.70,1.13
195202,24.67,0.94
195203,27.14,-3.48
195204,38.79,-0.14
195205,47.46,-0.45
195206,57.45,1.24
195207,60.35,-0.72
195208,59.49,-0.09
195209,51.37,-1.02
195210,37.24,-4.53
195211,28.38,-2.97
195212,24.12,0.81
195301,26.01,5.44
195302,24.51,0.78
195303,32.16,1.54
195304,36.75,-2.18
195305,46.99,-0.92
195306,56.98,0.77
195307,60.87,-0.20
195308,58.62,-0.96
195309,50.94,-1.45
195310,42.08,0.31
195311,32.18,0.83
195312,23.41,0.10
195401,20.07,-0.50
195402,28.98,5.25
195403,27.77,-2.85
195404,41.13,2.20
195405,45.70,-2.21
195406,55.83,-0.38
195407,61.65,0.58
195408,59.02,-0.56
195409,52.77,0.38
195410,42.13,0.36
195411,32.05,0.70
195412,23.32,0.01
195501,19.44,-1.13
195502,19.71,-4.02
195503,27.81,-2.81
195504,40.12,1.19
195505,48.29,0.38
195506,53.67,-2.54
195507,61.63,0.56
195508,60.51,0.93
195509,52.20,-0.19
195510,41.32,-0.45
195511,26.74,-4.61
195512,21.52,-1.79
195601,20.89,0.32
195602,21.31,-2.42
195603,28.00,-2.62
195604,36.61,-2.32
195605,48.85,0.94
195606,56.75,0.54
195607,59.92,-1.15
195608,58.08,-1.50
195609,50.25,-2.14
195610,42.89,1.12
195611,28.35,-3.00
195612,25.18,1.87
195701,16.97,-3.60
195702,27.61,3.88
195703,30.56,-0.06
195704,39.29,0.36
195705,48.09,0.18
195706,56.43,0.22
195707,61.02,-0.05
195708,58.50,-1.08
195709,51.01,-1.38
195710,41.11,-0.66
195711,30.67,-0.68
195712,26.26,2.95
195801,21.42,0.85
195802,21.85,-1.88
195803,28.56,-2.06
195804,38.50,-0.43
195805,48.81,0.90
195806,55.31,-0.90
195807,60.17,-0.90
195808,59.92,0.34
195809,52.88,0.49
195810,41.63,-0.14
195811,31.41,0.06
