Year,Inflation Rate YOY
1950,0.059
1951,0.06
1952,0.008
1953,0.007
1954,-0.007
1955,0.004
1956,0.03
1957,0.029
1958,0.018
1959,0.017
1960,0.014
1961,0.007
1962,0.013
1963,0.016
1964,0.01
1965,0.019
1966,0.035
1967,0.03
1968,0.047
1969,0.062
1970,0.056
1971,0.033
1972,0.034
1973,0.087
1974,0.123
1975,0.069
1976,0.049
1977,0.067
1978,0.09
1979,0.133
1980,0.125
1981,0.089
1982,0.038
1983,0.038
1984,0.039
1985,0.038
1986,0.011
1987,0.044
1988,0.044
1989,0.046
1990,0.061
1991,0.031
1992,0.029
1993,0.027
1994,0.027
1995,0.025
1996,0.033
1997,0.017
1998,0.016
1999,0.027
2000,0.034
2001,0.016
2002,0.024
2003,0.019
2004,0.033
2005,0.034
2006,0.025
2007,0.041
2008,0.001
2009,0.027
2010,0.015
2011,0.03
2012,0.017
2013,0.015
2014,0.008
2015,0.007
2016,0.021
2017,0.021
2018,0.019
2019,0.023
2020,0.012
