Year,Cooling Degree Days,GDP_PCH,USPop,baseline,"PRICE RECEIVED, MEASURED IN $ / BU"
1950,1080,10.03834,152270000,1.52,1.52
1951,1168,15.70438,154880000,1.52,1.66
1952,1272,5.88836,157550000,1.59,1.52
1953,1276,5.95544,160180000,1.5666666666666669,1.48
1954,1275,0.3421,163030000,1.5533333333333337,1.43
1955,1284,8.94395,165930000,1.4766666666666666,1.35
1956,1187,5.61085,168900000,1.42,1.29
1957,1188,5.49391,171980000,1.356666666666667,1.11
1958,1161,1.51654,174880000,1.25,1.12
1959,1299,8.40053,177830000,1.1733333333333336,1.05
1960,1177,3.97351,180670000,1.0933333333333335,1.0
1961,1129,3.65563,183690000,1.0566666666666666,1.1
1962,1160,7.41925,186540000,1.05,1.12
1963,1182,5.55205,189240000,1.0733333333333337,1.11
1964,1162,7.37468,191890000,1.11,1.17
1965,1128,8.4488,194300000,1.1333333333333335,1.16
1966,1123,9.58163,196560000,1.1466666666666667,1.24
1967,1067,5.72187,198710000,1.1900000000000002,1.03
1968,1105,9.38306,200710000,1.143333333333333,1.08
1969,1169,8.18251,202680000,1.1166666666666667,1.16
1970,1209,5.47314,205050000,1.09,1.33
1971,1171,8.52868,207660000,1.1900000000000002,1.08
1972,1131,9.80918,209900000,1.1900000000000002,1.57
1973,1213,11.43481,211910000,1.3266666666666669,2.55
1974,1108,8.40947,213850000,1.7333333333333334,3.02
1975,1155,9.03823,215970000,2.3800000000000003,2.54
1976,1016,11.18802,218040000,2.703333333333333,2.15
1977,1276,11.12475,220240000,2.57,2.02
1978,1219,12.95852,222580000,2.2366666666666664,2.25
1979,1102,11.72511,225060000,2.14,2.52
1980,1298,8.75347,227220000,2.263333333333333,3.11
1981,1198,12.23994,229470000,2.6266666666666665,2.5
1982,1130,4.26399,231660000,2.7099999999999995,2.55
1983,1235,8.68019,233790000,2.72,3.21
1984,1206,11.10549,235820000,2.7533333333333334,2.63
1985,1196,7.46398,237920000,2.796666666666667,2.23
1986,1246,5.54628,240130000,2.69,1.5
1987,1260,6.0176,242290000,2.12,1.94
1988,1278,7.8518,244500000,1.89,2.54
1989,1162,7.73697,246820000,1.9933333333333332,2.36
1990,1263,5.69991,249620000,2.28,2.28
1991,1329,3.26983,252980000,2.393333333333333,2.37
1992,1054,5.88162,256510000,2.3366666666666664,2.07
1993,1212,5.18734,259920000,2.24,2.5
1994,1225,6.25026,263130000,2.313333333333333,2.26
1995,1292,4.8374,266280000,2.276666666666667,3.24
1996,1197,5.6726,269390000,2.6666666666666665,2.71
1997,1165,6.24827,272650000,2.736666666666667,2.43
1998,1423,5.65737,275850000,2.793333333333333,1.94
1999,1306,6.27128,279040000,2.36,1.82
2000,1258,6.43515,282160000,2.063333333333333,1.85
2001,1275,3.22874,284970000,1.87,1.97
2002,1379,3.28087,287630000,1.88,2.32
2003,1280,4.82511,290110000,2.0466666666666664,2.42
2004,1222,6.64033,292810000,2.236666666666667,2.06
2005,1388,6.72823,295520000,2.266666666666667,2.0
2006,1359,5.95425,298380000,2.16,3.04
2007,1388,4.7674,301230000,2.3666666666666667,4.2
2008,1273,2.04249,304090000,3.08,4.06
2009,1230,-1.97561,306770000,3.766666666666667,3.55
2010,1444,3.94323,309320000,3.936666666666667,5.18
2011,1456,3.6598,311560000,4.263333333333333,6.22
2012,1479,4.19391,313830000,4.983333333333333,6.89
2013,1287,3.62512,315990000,6.096666666666667,4.46
2014,1272,4.20046,318300000,5.8566666666666665,3.7
2015,1457,3.73396,320640000,5.016666666666667,3.61
2016,1528,2.68638,322940000,3.923333333333333,3.36
2017,1390,4.19638,324990000,3.556666666666666,3.36
2018,1547,5.3776,326690000,3.4433333333333334,3.61
2019,1455,4.11856,328240000,3.4433333333333334,3.56
2020,1474,-2.24043,329880000,3.51,4.53
