date,Cooling Degree Days,Heating Degree Days,Precipitation,Palmer Drought Severity Index (PDSI),Average Temperature,Maximum Temperature,Minimum Temperature
1950-01-01,23,786,3.36,0.54,30.43,41.32,19.56
1950-02-01,11,731,2.23,0.70,35.55,47.10,24.01
1950-03-01,12,710,2.49,0.81,38.84,50.52,27.16
1950-04-01,21,428,2.08,0.64,48.65,61.18,36.12
1950-05-01,106,177,2.88,0.67,59.45,72.27,46.63
1950-06-01,197,46,2.80,0.62,67.93,81.16,54.70
1950-07-01,263,14,3.86,1.93,71.22,83.62,58.80
1950-08-01,238,24,2.55,2.34,70.02,83.53,56.50
1950-09-01,125,96,2.69,2.57,63.50,75.52,51.48
1950-10-01,72,214,1.90,1.89,57.47,70.72,44.20
1950-11-01,9,594,2.10,1.77,40.64,52.65,28.62
1950-12-01,3,892,1.93,1.46,33.01,43.75,22.28
1951-01-01,6,890,2.34,1.47,30.20,41.14,19.26
1951-02-01,5,743,2.27,1.61,34.54,46.08,23.00
1951-03-01,14,654,2.60,1.77,38.55,50.09,27.03
1951-04-01,22,378,2.35,1.63,49.73,62.06,37.40
1951-05-01,95,150,2.37,0.92,60.76,74.01,47.53
1951-06-01,194,52,3.44,1.54,66.65,79.32,53.96
1951-07-01,314,9,2.85,1.65,73.69,86.90,60.46
1951-08-01,287,22,2.61,1.63,71.89,84.87,58.89
1951-09-01,155,84,2.57,1.65,64.09,77.43,50.76
1951-10-01,59,252,2.30,1.68,54.00,66.00,41.97
1951-11-01,7,672,2.43,1.96,38.08,48.96,27.21
1951-12-01,10,838,3.12,2.70,31.23,41.38,21.07
1952-01-01,14,830,2.44,3.20,32.00,42.28,21.70
1952-02-01,7,698,2.00,2.86,35.46,46.22,24.67
1952-03-01,14,693,2.93,3.29,37.69,48.24,27.14
1952-04-01,19,338,2.40,-0.13,51.66,64.53,38.79
1952-05-01,96,168,2.69,-0.34,60.58,73.71,47.46
1952-06-01,270,39,2.20,-1.19,70.75,84.04,57.45
1952-07-01,355,6,2.39,-1.84,74.10,87.85,60.35
1952-08-01,294,15,2.62,-2.02,72.82,86.16,59.49
1952-09-01,152,64,1.53,-2.93,65.89,80.42,51.37
1952-10-01,37,342,0.54,-3.99,52.95,68.67,37.24
1952-11-01,10,576,2.15,-3.96,39.92,51.46,28.38
1952-12-01,4,818,2.45,-4.06,33.44,42.76,24.12
1953-01-01,9,775,2.64,-3.97,36.43,46.85,26.01
1953-02-01,7,689,2.06,-3.53,35.87,47.21,24.51
1953-03-01,25,577,2.61,-3.30,43.75,55.35,32.16
1953-04-01,26,398,2.96,-2.21,48.76,60.76,36.75
1953-05-01,118,162,3.26,-1.50,59.18,71.35,46.99
1953-06-01,254,42,2.54,-1.80,70.18,83.37,56.98
1953-07-01,330,7,2.65,-1.76,74.17,87.46,60.87
1953-08-01,279,15,2.29,-1.98,72.10,85.59,58.62
1953-09-01,161,60,1.50,-2.90,66.16,81.37,50.94
1953-10-01,51,230,1.51,-3.38,56.21,70.34,42.08
1953-11-01,10,526,1.79,-3.91,43.88,55.58,32.18
1953-12-01,6,796,2.50,-4.15,33.69,43.95,23.41
1954-01-01,9,905,2.54,-4.14,30.90,41.74,20.07
1954-02-01,10,596,1.49,-4.58,41.41,53.85,28.98
1954-03-01,10,669,2.16,-4.30,39.25,50.74,27.77
1954-04-01,54,278,2.40,-4.29,54.18,67.21,41.13
1954-05-01,67,205,2.69,-3.82,58.59,71.46,45.70
