date,"PRICE RECEIVED, MEASURED IN $ / BU"
1950-01-01,1.15
1950-02-01,1.16
1950-03-01,1.19
1950-04-01,1.26
1950-05-01,1.34
1950-06-01,1.36
1950-07-01,1.44
1950-08-01,1.44
1950-09-01,1.44
1950-10-01,1.37
1950-11-01,1.37
1950-12-01,1.45
1951-01-01,1.54
1951-02-01,1.6
1951-03-01,1.6
1951-04-01,1.62
1951-05-01,1.64
1951-06-01,1.62
1951-07-01,1.63
1951-08-01,1.65
1951-09-01,1.65
1951-10-01,1.64
1951-11-01,1.61
1951-12-01,1.68
1952-01-01,1.68
1952-02-01,1.65
1952-03-01,1.65
1952-04-01,1.68
1952-05-01,1.7
1952-06-01,1.73
1952-07-01,1.73
1952-08-01,1.73
1952-09-01,1.71
1952-10-01,1.53
1952-11-01,1.45
1952-12-01,1.5
1953-01-01,1.48
1953-02-01,1.43
1953-03-01,1.46
1953-04-01,1.46
1953-05-01,1.49
1953-06-01,1.46
1953-07-01,1.47
1953-08-01,1.48
1953-09-01,1.5
1953-10-01,1.34
1953-11-01,1.33
1953-12-01,1.41
1954-01-01,1.42
1954-02-01,1.43
1954-03-01,1.44
1954-04-01,1.45
1954-05-01,1.47
1954-06-01,1.49
1954-07-01,1.5
1954-08-01,1.53
1954-09-01,1.53
1954-10-01,1.45
1954-11-01,1.37
1954-12-01,1.39
1955-01-01,1.4
1955-02-01,1.4
1955-03-01,1.36
1955-04-01,1.36
1955-05-01,1.4
1955-06-01,1.4
1955-07-01,1.4
1955-08-01,1.3
1955-09-01,1.24
1955-10-01,1.14
1955-11-01,1.09
1955-12-01,1.15
1956-01-01,1.16
1956-02-01,1.18
1956-03-01,1.2
1956-04-01,1.32
1956-05-01,1.39
1956-06-01,1.42
1956-07-01,1.43
1956-08-01,1.45
1956-09-01,1.43
1956-10-01,1.19
1956-11-01,1.21
1956-12-01,1.22
1957-01-01,1.23
1957-02-01,1.19
1957-03-01,1.2
1957-04-01,1.21
1957-05-01,1.23
1957-06-01,1.22
1957-07-01,1.23
1957-08-01,1.23
1957-09-01,1.15
1957-10-01,1.06
1957-11-01,0.985
1957-12-01,0.984
1958-01-01,0.931
1958-02-01,0.958
1958-03-01,1.0
1958-04-01,1.12
1958-05-01,1.15
1958-06-01,1.19
1958-07-01,1.18
1958-08-01,1.18
1958-09-01,1.13
1958-10-01,1.04
1958-11-01,0.942
1958-12-01,1.02
1959-01-01,1.03
1959-02-01,1.04
1959-03-01,1.06
1959-04-01,1.13
1959-05-01,1.16
1959-06-01,1.16
1959-07-01,1.13
1959-08-01,1.13
1959-09-01,1.09
1959-10-01,0.991
1959-11-01,0.988
1959-12-01,0.978
1960-01-01,0.999
1960-02-01,1.01
1960-03-01,1.02
1960-04-01,1.06
1960-05-01,1.08
1960-06-01,1.09
1960-07-01,1.09
1960-08-01,1.07
1960-09-01,1.06
1960-10-01,0.992
1960-11-01,0.902
1960-12-01,0.919
1961-01-01,0.97
1961-02-01,1.01
1961-03-01,1.01
1961-04-01,0.968
1961-05-01,1.02
1961-06-01,1.03
1961-07-01,1.05
1961-08-01,1.04
1961-09-01,1.04
1961-10-01,1.02
1961-11-01,0.992
1961-12-01,0.994
1962-01-01,0.993
1962-02-01,0.996
1962-03-01,1.0
1962-04-01,1.02
1962-05-01,1.04
1962-06-01,1.04
1962-07-01,1.05
1962-08-01,1.03
1962-09-01,1.04
1962-10-01,1.03
1962-11-01,0.987
1962-12-01,1.04
1963-01-01,1.07
1963-02-01,1.09
1963-03-01,1.1
1963-04-01,1.1
1963-05-01,1.11
1963-06-01,1.16
1963-07-01,1.19
1963-08-01,1.19
1963-09-01,1.21
1963-10-01,1.11
1963-11-01,1.05
1963-12-01,1.09
1964-01-01,1.12
1964-02-01,1.11
1964-03-01,1.13
1964-04-01,1.15
1964-05-01,1.17
1964-06-01,1.16
1964-07-01,1.12
1964-08-01,1.12
1964-09-01,1.17
1964-10-01,1.13
1964-11-01,1.07
1964-12-01,1.16
1965-01-01,1.18
1965-02-01,1.2
1965-03-01,1.21
1965-04-01,1.23
1965-05-01,1.26
1965-06-01,1.25
1965-07-01,1.22
1965-08-01,1.18
1965-09-01,1.18
1965-10-01,1.1
1965-11-01,1.04
1965-12-01,1.13
1966-01-01,1.19
1966-02-01,1.2
1966-03-01,1.17
1966-04-01,1.19
1966-05-01,1.21
1966-06-01,1.2
1966-07-01,1.27
1966-08-01,1.34
1966-09-01,1.35
1966-10-01,1.29
1966-11-01,1.26
1966-12-01,1.29
1967-01-01,1.28
1967-02-01,1.26
1967-03-01,1.28
1967-04-01,1.26
1967-05-01,1.25
1967-06-01,1.26
1967-07-01,1.21
1967-08-01,1.11
1967-09-01,1.12
1967-10-01,1.04
1967-11-01,0.975
1967-12-01,1.03
1968-01-01,1.04
1968-02-01,1.06
1968-03-01,1.06
1968-04-01,1.06
1968-05-01,1.09
1968-06-01,1.07
1968-07-01,1.04
1968-08-01,0.986
1968-09-01,1.01
1968-10-01,0.962
1968-11-01,1.04
1968-12-01,1.05
1969-01-01,1.08
1969-02-01,1.09
1969-03-01,1.09
1969-04-01,1.12
1969-05-01,1.19
1969-06-01,1.18
1969-07-01,1.18
1969-08-01,1.18
1969-09-01,1.15
1969-10-01,1.12
1969-11-01,1.07
1969-12-01,1.09
1970-01-01,1.12
1970-02-01,1.14
1970-03-01,1.13
1970-04-01,1.15
1970-05-01,1.18
1970-06-01,1.21
1970-07-01,1.24
1970-08-01,1.27
1970-09-01,1.38
1970-10-01,1.34
1970-11-01,1.29
1970-12-01,1.36
1971-01-01,1.42
1971-02-01,1.43
1971-03-01,1.43
1971-04-01,1.41
1971-05-01,1.38
1971-06-01,1.43
1971-07-01,1.36
1971-08-01,1.19
1971-09-01,1.11
1971-10-01,1.0
1971-11-01,0.974
1971-12-01,1.08
1972-01-01,1.09
1972-02-01,1.09
1972-03-01,1.1
1972-04-01,1.13
1972-05-01,1.15
1972-06-01,1.13
1972-07-01,1.14
1972-08-01,1.15
1972-09-01,1.22
1972-10-01,1.19
1972-11-01,1.2
1972-12-01,1.42
1973-01-01,1.39
1973-02-01,1.35
1973-03-01,1.37
1973-04-01,1.42
1973-05-01,1.61
1973-06-01,1.99
1973-07-01,2.03
1973-08-01,2.68
1973-09-01,2.15
1973-10-01,2.17
1973-11-01,2.18
1973-12-01,2.39
1974-01-01,2.59
1974-02-01,2.76
1974-03-01,2.68
1974-04-01,2.41
1974-05-01,2.45
1974-06-01,2.57
1974-07-01,2.91
1974-08-01,3.37
1974-09-01,3.3
1974-10-01,3.45
1974-11-01,3.32
1974-12-01,3.27
1975-01-01,3.07
1975-02-01,2.86
1975-03-01,2.67
1975-04-01,2.68
1975-05-01,2.66
1975-06-01,2.68
1975-07-01,2.72
1975-08-01,2.95
1975-09-01,2.76
1975-10-01,2.62
1975-11-01,2.33
