Year,ACRES HARVESTED,"PRODUCTION, MEASURED IN BU","PRICE RECEIVED, MEASURED IN $ / BU","PRODUCTION, MEASURED IN $","YIELD, MEASURED IN BU / ACRE",Cooling Degree Days,Heating Degree Days,Precipitation,Palmer Drought Severity Index (PDSI),Average Temperature,Maximum Temperature,Minimum Temperature,GDP,GDP_PCH,Inflation Rate YOY,USPop,baseline
1950,72398000.0,2764071000.0,1.52,4222366000.0,38.2,1080,4712,30.87,1.93,51.39,63.61,39.17,299.82725,10.03834,0.059,152270000,1.52
1951,71191000.0,2628937000.0,1.66,4364659000.0,36.9,1168,4744,31.25,1.65,51.12,63.19,39.04,346.91325,15.70438,0.06,154880000,1.52
1952,71353000.0,2980793000.0,1.52,4557031000.0,41.8,1272,4587,26.34,-1.84,52.27,64.70,39.85,367.34075,5.88836,0.008,157550000,1.5899999999999999
1953,70738000.0,2881801000.0,1.48,4291366000.0,40.7,1276,4277,28.31,-1.76,53.37,65.76,40.96,389.2175,5.95544,0.007,160180000,1.5666666666666667
1954,68668000.0,2707913000.0,1.43,3872433000.0,39.4,1275,4425,26.15,-4.33,53.33,65.78,40.87,390.549,0.3421,-0.007,163030000,1.5533333333333335
1955,68462000.0,2872959000.0,1.35,3848649000.0,42.0,1284,4721,27.74,-3.95,51.69,63.96,39.41,425.4795,8.94395,0.004,165930000,1.4766666666666666
1956,64877000.0,3075336000.0,1.29,3967290000.0,47.4,1187,4588,25.38,-3.36,52.34,64.92,39.76,449.3525,5.61085,0.03,168900000,1.42
1957,63065000.0,3045355000.0,1.11,3393496000.0,48.3,1188,4537,33.87,2.61,52.04,63.47,40.63,474.0395,5.49391,0.029,171980000,1.3566666666666667
1958,63549000.0,3356205000.0,1.12,3755553000.0,52.8,1161,4891,30.23,4.13,51.93,63.73,40.13,481.2285,1.51654,0.018,174880000,1.25
1959,72091000.0,3824598000.0,1.05,4013126000.0,53.1,1299,4581,30.60,0.16,52.10,64.15,40.06,521.65425,8.40053,0.017,177830000,1.1733333333333336
1960,71422000.0,3906949000.0,1.0,3928779000.0,54.7,1177,4900,28.75,-0.52,51.44,63.43,39.45,542.38225,3.97351,0.014,180670000,1.0933333333333335
1961,57634000.0,3597803000.0,1.1,3938994000.0,62.4,1129,4700,31.25,1.20,51.87,63.82,39.91,562.20975,3.65563,0.007,183690000,1.0566666666666666
1962,55726000.0,3606311000.0,1.12,4025296000.0,64.7,1160,4835,28.60,-0.06,51.90,63.96,39.84,603.9215,7.41925,0.013,186540000,1.05
